Date,Calls,day,sin_day_of_week,cos_day_of_week,sin_month,cos_month,sin_week_of_year,cos_week_of_year,is_holiday
2017-03-29,473,29,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,1.0,-1.6081226496766366e-16,0
2017-03-30,507,30,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,1.0,-1.6081226496766366e-16,0
2017-03-31,502,31,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1.0,-1.6081226496766366e-16,0
2017-04-01,304,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1.0,-1.6081226496766366e-16,0
2017-04-02,280,2,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1.0,-1.6081226496766366e-16,0
2017-04-03,591,3,0.0,1.0,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288,0
2017-04-04,590,4,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288,0
2017-04-05,528,5,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288,0
2017-04-06,493,6,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288,0
2017-04-07,513,7,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288,0
2017-04-08,284,8,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288,0
2017-04-09,299,9,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288,0
2017-04-10,581,10,0.0,1.0,1.0,6.123233995736766e-17,0.9709418174260521,-0.2393156642875575,0
2017-04-11,530,11,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.9709418174260521,-0.2393156642875575,0
2017-04-12,472,12,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9709418174260521,-0.2393156642875575,0
2017-04-13,487,13,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.9709418174260521,-0.2393156642875575,0
2017-04-14,489,14,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0.9709418174260521,-0.2393156642875575,0
2017-04-15,320,15,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.9709418174260521,-0.2393156642875575,0
2017-04-16,259,16,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9709418174260521,-0.2393156642875575,0
2017-04-17,463,17,0.0,1.0,1.0,6.123233995736766e-17,0.9350162426854148,-0.35460488704253545,0
2017-04-18,546,18,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.9350162426854148,-0.35460488704253545,0
2017-04-19,496,19,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9350162426854148,-0.35460488704253545,0
2017-04-20,513,20,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.9350162426854148,-0.35460488704253545,0
2017-04-21,508,21,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0.9350162426854148,-0.35460488704253545,0
